red_fighter_name,blue_fighter_name,event_date,red_fighter_total_pts,blue_fighter_total_pts
WILLIAM GOMIS,JOANDERSON BRITO,2024-09-28,29 28 29,28 29 28
NASSOURDINE IMAVOV,BRENDAN ALLEN,2024-09-28,29 29 29,28 28 28
BOLAJI OKI,CHRIS DUNCAN,2024-09-28,- - -,- - -
RENATO MOICANO,BENOIT SAINT DENIS,2024-09-28,19 19 19,18 18 18
AILIN PEREZ,DARIA ZHELEZNIAKOVA,2024-09-28,- - -,- - -
MORGAN CHARRIERE,GABRIEL MIRANDA,2024-09-28,10 10 10,9 9 9
KEVIN JOUSSET,BRYAN BATTLE,2024-09-28,9 10 10,10 10 9
TAYLOR LAPILUS,VINCE MORALES,2024-09-28,30 30 30,27 27 27
FARES ZIAM,MATT FREVOLA,2024-09-28,20 20 20,18 18 17
DANIEL BAREZ,VICTOR ALTAMIRANO,2024-09-28,29 29 29,28 28 28
NORA CORNOLLE,JACQUELINE CAVALCANTI,2024-09-28,29 28 28,28 29 29
ION CUTELABA,IVAN ERSLAN,2024-09-28,28 29 29,29 28 28
LUDOVIT KLEIN,ROOSEVELT ROBERTS,2024-09-28,30 29 29,27 28 28
OUMAR SY,DA WOON JUNG,2024-09-28,30 30 30,27 27 27
ANTHONY SMITH,DEVIN CLARK,2020-11-28,- - -,- - -
MIGUEL BAEZA,TAKASHI SATO,2020-11-28,10 10 10,9 9 9
GINA MAZANY,RACHAEL OSTOVICH,2020-11-28,20 20 20,18 18 18
MARTIN DAY,ANDERSON DOS SANTOS,2020-11-28,- - -,- - -
SUMUDAERJI,MALCOLM GORDON,2020-11-28,- - -,- - -
LUKE SANDERS,NATE MANESS,2020-11-28,10 10 10,9 9 9
JONATHAN PEARCE,KAI KAMAKA,2020-11-28,9 9 9,10 10 10
ASHLEE EVANS-SMITH,NORMA DUMONT,2020-11-28,26 26 26,30 30 30
JOSH PARISIAN,PARKER PORTER,2020-11-28,26 27 28,30 30 29
SPIKE CARLYLE,BILL ALGEO,2020-11-28,27 27 27,30 30 30
CODY DURDEN,CHARLES JOHNSON,2023-04-29,30 30 30,27 27 27
MARTIN BUDAY,JAKE COLLIER,2023-04-29,29 29 29,28 28 28
HAILEY COWAN,JAMEY-LYN HORTH,2023-04-29,28 28 28,29 29 29
MARCOS ROGERIO DE LIMA,WALDO CORTES-ACOSTA,2023-04-29,29 29 29,28 28 28
JOSH QUINLAN,TREY WATERS,2023-04-29,27 27 27,30 30 30
JULIAN EROSA,FERNANDO PADILLA,2023-04-29,- - -,- - -
JOURNEY NEWSON,MARCUS MCGHEE,2023-04-29,9 9 9,10 10 10
STEPHANIE EGGER,IRINA ALEKSEEVA,2023-04-29,- - -,- - -
RODOLFO VIEIRA,CODY BRUNDAGE,2023-04-29,9 9 9,10 10 10
CAIO BORRALHO,MICHAL OLEKSIEJCZUK,2023-04-29,10 10 10,9 9 9
SONG YADONG,RICKY SIMON,2023-04-29,40 39 40,36 37 36
REI TSURUYA,CARLOS HERNANDEZ,2024-06-29,29 29 29,28 28 28
ANDREI ARLOVSKI,MARTIN BUDAY,2024-06-29,28 29 27,29 28 30
ANTHONY SMITH,ROMAN DOLIDZE,2024-06-29,27 28 28,30 29 29
MAYRA BUENO SILVA,MACY CHIASSON,2024-06-29,10 10 10,9 9 9
JOE PYFER,MARC-ANDRE BARRIAULT,2024-06-29,- - -,- - -
IAN MACHADO GARRY,MICHAEL PAGE,2024-06-29,29 29 29,28 28 28
PAYTON TALBOTT,YANIS GHEMMOURI,2024-06-29,- - -,- - -
DAN IGE,DIEGO LOPES,2024-06-29,28 28 28,29 29 29
MAGOMED GADZHIYASULOV,BRENDSON RIBEIRO,2024-06-22,29 29 28,28 28 28
MUHAMMAD NAIMOV,FELIPE LIMA,2024-06-22,20 19 18,18 19 20
ALEX PEREIRA,JIRI PROCHAZKA,2024-06-29,10 10 10,9 9 9
ROBERT WHITTAKER,IKRAM ALISKEROV,2024-06-22,- - -,- - -
MICHELLE WATERSON-GOMEZ,GILLIAN ROBERTSON,2024-06-29,27 27 26,30 30 30
SERGEI PAVLOVICH,ALEXANDER VOLKOV,2024-06-22,27 28 27,30 29 30
KELVIN GASTELUM,DANIEL RODRIGUEZ,2024-06-22,29 30 30,28 27 27
NASRAT HAQPARAST,JARED GORDON,2024-06-22,29 29 28,28 28 29
XIAO LONG,CHANGHO LEE,2024-06-22,29 28 28,28 29 29
CHARLES JOURDAIN,JEAN SILVA,2024-06-29,9 9 9,10 10 10
RICKY SIMON,VINICIUS OLIVEIRA,2024-06-29,27 28 27,30 29 30
CUB SWANSON,ANDRE FILI,2024-06-29,28 29 28,29 28 29
MICHAEL CHIESA,KEVIN HOLLAND,2023-07-29,- - -,- - -
DUSTIN POIRIER,JUSTIN GAETHJE,2023-07-29,10 10 9,9 9 10
JAN BLACHOWICZ,ALEX PEREIRA,2023-07-29,28 28 29,29 29 28
TONY FERGUSON,KING GREEN,2023-07-29,17 18 19,20 20 19
GABRIEL BONFIM,TREVIN GILES,2023-07-29,- - -,- - -
CJ VERGARA,VINICIUS SALVADOR,2023-07-29,29 29 29,28 28 28
ROMAN KOPYLOV,CLAUDIO RIBEIRO,2023-07-29,9 10 9,10 9 10
JAKE MATTHEWS,DARRIUS FLOWERS,2023-07-29,10 10 10,9 9 9
MATTHEW SEMELSBERGER,UROS MEDIC,2023-07-29,19 19 19,19 19 19
MIRANDA MAVERICK,PRISCILA CACHOEIRA,2023-07-29,20 20 20,18 18 18
DERRICK LEWIS,MARCOS ROGERIO DE LIMA,2023-07-29,- - -,- - -
SEAN BRADY,CHRISTIAN AGUILERA,2020-08-29,10 10 10,9 9 9
POLYANA VIANA,EMILY WHITMIRE,2020-08-29,- - -,- - -
ROBBIE LAWLER,NEIL MAGNY,2020-08-29,27 27 27,30 30 30
JI YEON KIM,ALEXA GRASSO,2020-08-29,27 27 27,30 30 30
ANTHONY SMITH,ALEKSANDAR RAKIC,2020-08-29,26 27 27,30 30 30
RICARDO LAMAS,BILL ALGEO,2020-08-29,29 29 29,27 27 27
MALLORY MARTIN,HANNAH CIFERS,2020-08-29,8 8 8,10 10 10
MAKI PITOLO,IMPA KASANGANAY,2020-08-29,27 27 27,30 30 30
ALEX CACERES,AUSTIN SPRINGER,2020-08-29,- - -,- - -
ALESSIO DI CHIRICO,ZAK CUMMINGS,2020-08-29,28 28 27,29 29 30
JOSH FREMD,TRESEAN GORE,2022-10-29,9 9 10,10 10 ‘9
WALDO CORTES-ACOSTA,JARED VANDERAA,2022-10-29,29 29 30,28 28 27
DUSTIN JACOBY,KHALIL ROUNTREE JR.,2022-10-29,28 28 29,29 29 28
PHIL HAWES,ROMAN DOLIDZE,2022-10-29,- - -,- - -
CODY DURDEN,CARLOS MOTA,2022-10-29,29 ‘30 29,28 27 28
CHASE HOOPER,STEVE GARCIA,2022-10-29,- - -,- - -
ANDREI ARLOVSKI,MARCOS ROGERIO DE LIMA,2022-10-29,- - -,- - -
JOSEPH HOLMES,JUNYONG PARK,2022-10-29,10 9 10,9 10 9
CHRISTIAN RODRIGUEZ,JOSHUA WEEMS,2022-10-29,- - -,- - -
TIM MEANS,MAX GRIFFIN,2022-10-29,28 27 29,29 30 28
CALVIN KATTAR,ARNOLD ALLEN,2022-10-29,9 9 9,10 10 10
NURSULTON RUZIBOEV,SEDRIQUES DUMAS,2024-03-30,- - -,- - -
CHRIS WEIDMAN,BRUNO SILVA,2024-03-30,30 30 30,27 27 27
ERIN BLANCHFIELD,MANON FIOROT,2024-03-30,45 45 45,50 50 50
VICENTE LUQUE,JOAQUIN BUCKLEY,2024-03-30,9 10 9,10 9 10
JULIO ARCE,HERBERT BURNS,2024-03-30,10 9 10,9 10 98
DENNIS BUZUKJA,CONNOR MATTHEWS,2024-03-30,20 20 20,18 18 18
VIRNA JANDIROBA,LOOPY GODINEZ,2024-03-30,29 30 29,28 27 28
NATE LANDWEHR,JAMALL EMMERS,2024-03-30,- - -,- - -
IBO ASLAN,ANTON TURKALJ,2024-03-30,20 20 19,18 18 19
BILL ALGEO,KYLE NELSON,2024-03-30,- - -,- - -
CHIDI NJOKUANI,RHYS MCKEE,2024-03-30,30 30 28,27 27 29
ANDRE PETROSKI,JACOB MALKOUN,2024-03-30,10 10 10,9 9 9
ANGEL PACHECO,CAOLAN LOUGHRAN,2024-03-30,27 27 26,30 30 30
ANDREI ARLOVSKI,JAKE COLLIER,2022-04-30,27 29 29,30 28 28
ROB FONT,MARLON VERA,2022-04-30,47 46 46,48 49 49
ANDRE FILI,JOANDERSON BRITO,2022-04-30,- -,- -
JARED GORDON,GRANT DAWSON,2022-04-30,18 18 18,20 20 20
GINA MAZANY,SHANNA YOUNG,2022-04-30,10 10 10,9 9 9
KRZYSZTOF JOTKO,GERALD MEERSCHAERT,2022-04-30,30 30 30,27 27 27
DARREN ELKINS,TRISTAN CONNELLY,2022-04-30,30 30 30,27 27 27
NATAN LEVY,MIKE BREEDEN,2022-04-30,29 29 30,28 28 27
GABE GREEN,YOHAN LAINESSE,2022-04-30,9 9 9,10 10 10
ALEXANDR ROMANOV,CHASE SHERMAN,2022-04-30,- - -,- - -
DANIEL LACERDA,FRANCISCO FIGUEIREDO,2022-04-30,- - -,- - -
ALEX MORONO,MATTHEW SEMELSBERGER,2022-07-30,29 30 29,28 27 28
MAGOMED ANKALAEV,ANTHONY SMITH,2022-07-30,10 10 10,9 9 9
JULIANNA PENA,AMANDA NUNES,2022-07-30,45 43 44,50 50 50
DREW DOBER,RAFAEL ALVES,2022-07-30,19 20 19,19 18 19
DON'TALE MAYES,HAMDY ABDELWAHAB,2022-07-30,28 29 28,29 28 29
BRANDON MORENO,KAI KARA-FRANCE,2022-07-30,19 18 20,19 20 18
NICOLAE NEGUMEREANU,IHOR POTIERIA,2022-07-30,10 10 10,9 9 9
JOSELYNE EDWARDS,JI YEON KIM,2022-07-30,30 29 28,27 28 29
DRAKKAR KLOSE,RAFA GARCIA,2022-07-30,29 29 29,28 28 28
MICHAEL MORALES,ADAM FUGITT,2022-07-30,20 19 19,18 19 19
ORION COSCE,BLOOD DIAMOND,2022-07-30,29 29 29,28 28 28
ALEXANDRE PANTOJA,ALEX PEREZ,2022-07-30,- - -,- - -
DERRICK LEWIS,SERGEI PAVLOVICH,2022-07-30,- - -,- - -
MAGOMED ANKALAEV,VOLKAN OEZDEMIR,2021-10-30,29 30 30,28 27 27
LI JINGLIANG,KHAMZAT CHIMAEV,2021-10-30,- - -,- - -
AMANDA RIBAS,VIRNA JANDIROBA,2021-10-30,29 29 29,28 28 28
RICARDO RAMOS,ZUBAIRA TUKHUGOV,2021-10-30,28 28 28,29 29 29
ISLAM MAKHACHEV,DAN HOOKER,2021-10-30,- - -,- - -
MAKWAN AMIRKHANI,LERONE MURPHY,2021-10-30,10 10 10,9 9 9
SHAMIL GAMZATOV,MICHAL OLEKSIEJCZUK,2021-10-30,- - -,- - -
ALEXANDER VOLKOV,MARCIN TYBURA,2021-10-30,30 30 29,27 27 28
ALBERT DURAEV,ROMAN KOPYLOV,2021-10-30,29 30 29,27 27 27
ELIZEU ZALESKI DOS SANTOS,BENOIT SAINT DENIS,2021-10-30,29 29 29,26 26 26
PETR YAN,CORY SANDHAGEN,2021-10-30,49 49 49,46 46 46
HU YAOZONG,ANDRE PETROSKI,2021-10-30,18 17 17,20 20 20
TAGIR ULANBEKOV,ALLAN NASCIMENTO,2021-10-30,28 29 29,29 28 28
JAN BLACHOWICZ,GLOVER TEIXEIRA,2021-10-30,9 9 9,10 10 10
URIAH HALL,SEAN STRICKLAND,2021-07-31,44 46 45,50 49 50
CHEYANNE VLISMAS,GLORIA DE PAULA,2021-07-31,- - -,- - -
RYAN BENOIT,ZARRUKH ADASHEV,2021-07-31,27 28 27,30 29 30
PHIL ROWE,ORION COSCE,2021-07-31,9 9 9,10 10 10
JINH YU FREY,ASHLEY YODER,2021-07-31,30 30 30,27 27 27
DANNY CHAVEZ,KAI KAMAKA,2021-07-31,27 28 28,29 28 28
NIKLAS STOLZE,JARED GOODEN,2021-07-31,- - -,- - -
COLLIN ANGLIN,MELSIK BAGHDASARYAN,2021-07-31,9 9 9,10 10 10
CHRIS GRUETZEMACHER,RAFA GARCIA,2021-07-31,29 29 29,28 28 28
BRYAN BARBERENA,JASON WITT,2021-07-31,27 28 28,29 29 28
MILES JOHNS,KEVIN NATIVIDAD,2020-10-31,20 20 20,18 18 18
DUSTIN JACOBY,JUSTIN LEDET,2020-10-31,- - -,- - -
SEAN STRICKLAND,JACK MARSHMAN,2020-10-31,30 30 30,27 27 27
URIAH HALL,ANDERSON SILVA,2020-10-31,28 29 29,29 28 28
COLE WILLIAMS,JASON WITT,2020-10-31,8 9 8,10 10 10
ADRIAN YANEZ,VICTOR RODRIGUEZ,2020-10-31,- - -,- - -
CHRIS GRUETZEMACHER,ALEXANDER HERNANDEZ,2020-10-31,- - -,- - -
BRYCE MITCHELL,ANDRE FILI,2020-10-31,29 30 30,28 27 27
MAURICE GREENE,GREG HARDY,2020-10-31,9 9 9,10 10 10
KING GREEN,THIAGO MOISES,2020-10-31,28 28 28,29 29 29
KEVIN HOLLAND,CHARLIE ONTIVEROS,2020-10-31,- - -,- - -
ALEX CACERES,CHASE HOOPER,2020-06-06,30 30 30,27 27 27
JUSSIER FORMIGA,ALEX PEREZ,2020-06-06,- - -,- - -
ALJAMAIN STERLING,CODY SANDHAGEN,2020-06-06,- - -,- - -
AMANDA NUNES,FELICIA SPENCER,2020-06-06,50 50 50,44 44 44
RAPHAEL ASSUNCAO,CODY GARBRANDT,2020-06-06,9 9 9,10 10 10
CODY STAMANN,BRIAN KELLEHER,2020-06-06,30 30 30,27 27 27
ALONZO MENIFIELD,DEVIN CLARK,2020-06-06,28 27 28,29 30 29
EVAN DUNHAM,HERBERT BURNS,2020-06-06,- - -,- - -
IAN HEINISH,GERALD MEERSCHAERT,2020-06-06,- - -,- - -
CHARLES BYRD,MAKI PITOLO,2020-06-06,10 10 10,9 9 9
NEIL MAGNY,TONY MARTIN,2020-06-06,29 30 30,28 27 27
EDDIE WINELAND,SEAN O’MALLEY,2020-06-06,- - -,- - -
ALEX VOLKANOVSKI,MAX HOLLOWAY,2020-11-07,48 47 48,47 48 47
KAMARU USMAN,JORGE MASVIDAL,2020-11-07,50 50 49,45 45 46
MARCIN TYBURA,MAXIN GRISHIN,2020-11-07,30 30 30,27 26 27
PETR YAN,JOSE ALDO,2020-11-07,39 39 39,37 37 37
SEAN STRICKLAND,DRICUS DU PLESSIS,2024-01-20,47 47 48,48 48 47
RAQUEL PENNINGTON,MAYRA BUENO SILVA,2024-01-20,49 49 49,46 46 45
NEIL MAGNY,MIKE MALOTT,2024-01-20,18 18 18,20 20 20
CHRIS CURTIS,MARC-ANDRE BARRIAULT,2024-01-20,30 28 30,27 29 27
ARNOLD ALLEN,MOVSAR EVLOEV,2024-01-20,28 28 28,29 29 29
BRAD KATONA,GARRETT ARMFIELD,2024-01-20,28 28 28,29 29 29
CHARLES JOURDAIN,SEAN WOODSON,2024-01-20,28 28 29,29 29 28
SERHIY SIDEY,RAMON TAVERAS,2024-01-20,29 28 28,28 29 29
GILLIAN ROBERTSON,POLYANA VIANA,2024-01-20,10 10 10,9 9 9
YOHAN LAINESSE,SAM PATTERSON,2024-01-20,- - -,- - -
JASMINE JASUDAVICIUS,PRISCILA CACHOEIRA,2024-01-20,20 20 20,16 16 15
MALCOLM GORDON,JIMMY FLICK,2024-01-20,10 10 10,9 9 9
ISLAM MAKHACHEV,KING GREEN,2022-02-26,- - -,- - -
MISHA CIRKUNOV,WELLINGTON TURMAN,2022-02-26,10 10 10,9 9 9
JI YEON KIM,PRISCILA CACHOEIRA,2022-02-26,28 28 28,29 29 29
ARMAN TSARUKYAN,JOEL ALVAREZ,2022-02-26,10 10 10,9 9 9
ARMEN PETROSYAN,GREGORY RODRIGUES,2022-02-26,29 28 30,28 29 27
RONGZHU,IGNACIO BAHAMONDES,2022-02-26,18 18 18,20 20 20
JOSIANE NUNES,RAMONA PASCUAL,2022-02-26,30 30 30,27 26 27
TERRANCE MCKINNEY,FARES ZIAM,2022-02-26,- - -,- - -
ALEJANDRO PEREZ,JONATHAN MARTINEZ,2022-02-26,28 28 27,29 29 30
RAMIZ BRAHIMAJ,MICHEAL GILLMORE,2022-02-26,- - -,- - -
VICTOR ALTAMIRANO,CARLOS HERNANDEZ,2022-02-26,28 27 29,29 30 28
JOHNNY WALKER,JAMAHAL HILL,2022-02-19,- - -,- - -
KYLE DAUKAUS,JAMIE PICKETT,2022-02-19,- - -,- - -
PARKER PORTER,ALAN BAUDOT,2022-02-19,29 29 29,28 28 28
JIM MILLER,NIKOLAS MOTTA,2022-02-19,10 9 10,9 10 9
JOAQUIN BUCKLEY,ABDUL RAZAK ALHASSAN,2022-02-19,29 28 29,28 29 28
GABRIEL BENITEZ,DAVID ONAMA,2022-02-19,- - -,- - -
JESSICA-ROSE CLARK,STEPHANIE EGGER,2022-02-19,- - -,- - -
CHAS SKELLY,MARK STRIEGL,2022-02-19,10 9 9,9 10 10
DIANA BELBITA,GLORIA DE PAULA,2022-02-19,28 28 28,29 29 29
CHAD ANHELIGER,JESSE STRADER,2022-02-19,19 18 19,19 20 19
JONATHAN PEARCE,CHRISTIAN RODRIGUEZ,2022-02-19,29 29 30,28 28 27
MARIO BAUTISTA,JAY PERRIN,2022-02-19,30 30 30,27 27 26
JACK HERMANSSON,SEAN STRICKLAND,2022-02-05,46 48 46,49 47 49
PUNAHELE SORIANO,NICK MAXIMOV,2022-02-05,29 27 28,28 30 29
SHAVKAT RAKHMONOV,CARLSTON HARRIS,2022-02-05,- - -,- - -
SAM ALVEY,BRENDAN ALLEN,2022-02-05,9 9 9,10 10 10
TRESEAN GORE,BRYAN BATTLE,2022-02-05,28 28 28,29 29 29
JULIAN EROSA,STEVEN PETERSON,2022-02-05,28 29 29,29 28 28
MILES JOHNS,JOHN CASTANEDA,2022-02-05,18 18 18,20 20 20
HAKEEM DAWODU,MICHAEL TRIZANO,2022-02-05,30 30 30,27 27 27
CHIDI NJOKUANI,MARC-ANDRE BARRIAULT,2022-02-05,- - -,- - -
ALEXIS DAVIS,JULIJA STOLIARENKO,2022-02-05,29 29 30,27 27 27
JAILTON ALMEIDA,DANILO MARQUES,2022-02-05,- - -,- - -
JASON WITT,PHIL ROWE,2022-02-05,10 10 10,9 9 9
MALCOLM GORDON,DENYS BONDAR,2022-02-05,- - -,- - -
MAX HOLLOWAY,CALVIN KATTAR,2021-01-16,50 50 50,43 43 42
CARLOS CONDIT,MATT BROWN,2021-01-16,30 30 30,27 27 27
SANTIAGO PONZINIBBIO,LI JINGLIANG,2021-01-16,- - -,- - -
JOAQUIN BUCKLEY,ALESSIO DI CHIRICO,2021-01-16,- - -,- - -
PUNAHELE SORIANO,DUSKO TODOROVIC,2021-01-16,- - -,- - -
WU YANAN,JOSELYNE EDWARDS,2021-01-16,27 28 27,30 29 30
CARLOS FELIPE,JUSTIN TAFA,2021-01-16,29 28 29,28 29 28
DAVID ZAWADA,RAMAZAN EMEEV,2021-01-16,29 28 28,28 29 29
SARAH MORAS,VANESSA MELO,2021-01-16,27 28 28,30 29 29
JACOB KILBURN,AUSTIN LINGO,2021-01-16,27 26 26,30 30 30
PEDRO MUNHOZ,FRANKIE EDGAR,2020-08-23,47 47 49,48 48 46
MARCIN PRACHNIO,MIKE RODRIGUEZ,2020-08-23,- - -,- - -
AUSTIN HUBBARD,JOE SOLECKI,2020-08-23,- - -,- - -
MARIYA AGAPOVA,SHANA DOBSON,2020-08-23,10 10 10,9 9 9
DANIEL RODRIGUEZ,DWIGHT GRANT,2020-08-23,- - -,- - -
AMANDA LEMOS,MIZUKI,2020-08-23,30 30 30,27 27 27
IKE VILLANUEVA,JORDAN WRIGHT,2020-08-23,- - -,- - -
CARLTON MINUS,MATTHEW SEMELSBERGER,2020-08-23,26 27 28,30 30 29
