red_fighter,blue_fighter,red_kd,blue_kd,red_sig_str,blue_sig_str,red_sig_str_pct,blue_sig_str_pct,red_total_str,blue_total_str,red_td,blue_td,red_td_pct,blue_td_pct,red_sub_att,blue_sub_att,red_rev,blue_rev,red_ctrl,blue_ctrl,red_head,blue_head,red_body,blue_body,red_leg,blue_leg,red_distance,blue_distance,red_clinch,blue_clinch,red_ground,blue_ground,win_by,last_round,last_round_time,format,referee,date,location,fight_type,winner,red_sig_str_landed,red_sig_str_attempted,blue_sig_str_landed,blue_sig_str_attempted,red_sig_str_pct_num,blue_sig_str_pct_num,red_total_str_landed,red_total_str_attempted,blue_total_str_landed,blue_total_str_attempted,red_td_landed,red_td_attempted,blue_td_landed,blue_td_attempted,red_td_pct_num,blue_td_pct_num,red_head_landed,red_head_attempted,blue_head_landed,blue_head_attempted,red_body_landed,red_body_attempted,blue_body_landed,blue_body_attempted,red_leg_landed,red_leg_attempted,blue_leg_landed,blue_leg_attempted,red_distance_landed,red_distance_attempted,blue_distance_landed,blue_distance_attempted,red_clinch_landed,red_clinch_attempted,blue_clinch_landed,blue_clinch_attempted,red_ground_landed,red_ground_attempted,blue_ground_landed,blue_ground_attempted,last_round_time_seconds
Justin Willis,Chase Sherman,1,0,76 of 109,69 of 137,69%,50%,118 of 153,112 of 180,1 of 2,0 of 0,50%,,0,0,0,0,3:00,2:02,68 of 101,34 of 90,8 of 8,24 of 33,0 of 0,11 of 14,53 of 82,53 of 120,6 of 7,15 of 16,17 of 20,1 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,2018-04-21,"Atlantic City, New Jersey, USA",Heavyweight Bout,Justin Willis,76,109,69,137,69.0,50.0,118,153,112,180,1,2,0,0,50.0,,68,101,34,90,8,8,24,33,0,0,11,14,53,82,53,120,6,7,15,16,17,20,1,1,300
Frankie Edgar,Cub Swanson,0,0,58 of 136,48 of 130,42%,36%,60 of 139,50 of 132,0 of 8,0 of 0,0%,,0,0,0,0,0:51,0:00,33 of 106,32 of 110,6 of 10,11 of 15,19 of 20,5 of 5,52 of 126,42 of 122,6 of 10,6 of 8,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,2018-04-21,"Atlantic City, New Jersey, USA",Featherweight Bout,Frankie Edgar,58,136,48,130,42.0,36.0,60,139,50,132,0,8,0,0,0.0,,33,106,32,110,6,10,11,15,19,20,5,5,52,126,42,122,6,10,6,8,0,0,0,0,300
David Branch,Thiago Santos,1,0,5 of 15,14 of 29,33%,48%,5 of 15,14 of 29,0 of 1,0 of 0,0%,,0,0,0,0,0:02,0:00,5 of 14,4 of 17,0 of 1,2 of 3,0 of 0,8 of 9,1 of 11,14 of 29,0 of 0,0 of 0,4 of 4,0 of 0,KO/TKO,1,2:30,3 Rnd (5-5-5),Gary Copeland,2018-04-21,"Atlantic City, New Jersey, USA",Middleweight Bout,David Branch,5,15,14,29,33.0,48.0,5,15,14,29,0,1,0,0,0.0,,5,14,4,17,0,1,2,3,0,0,8,9,1,11,14,29,0,0,0,0,4,4,0,0,150
Ryan LaFlare,Alex Garcia,0,0,24 of 48,11 of 54,50%,20%,47 of 71,21 of 66,1 of 6,5 of 7,16%,71%,0,0,1,0,4:28,4:06,5 of 27,6 of 46,17 of 19,4 of 7,2 of 2,1 of 1,17 of 38,7 of 46,3 of 6,3 of 7,4 of 4,1 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,2018-04-21,"Atlantic City, New Jersey, USA",Welterweight Bout,Ryan LaFlare,24,48,11,54,50.0,20.0,47,71,21,66,1,6,5,7,16.0,71.0,5,27,6,46,17,19,4,7,2,2,1,1,17,38,7,46,3,6,3,7,4,4,1,1,300
Edson Barboza,Kevin Lee,0,0,51 of 106,142 of 241,48%,58%,64 of 119,233 of 344,0 of 1,4 of 9,0%,44%,0,0,0,0,0:10,15:01,26 of 73,138 of 236,20 of 26,3 of 4,5 of 7,1 of 1,47 of 102,46 of 122,2 of 2,0 of 0,2 of 2,96 of 119,TKO - Doctor's Stoppage,5,2:18,5 Rnd (5-5-5-5-5),Keith Peterson,2018-04-21,"Atlantic City, New Jersey, USA",Lightweight Bout,Kevin Lee,51,106,142,241,48.0,58.0,64,119,233,344,0,1,4,9,0.0,44.0,26,73,138,236,20,26,3,4,5,7,1,1,47,102,46,122,2,2,0,0,2,2,96,119,138
Jim Miller,Dan Hooker,0,1,10 of 20,24 of 44,50%,54%,13 of 23,24 of 44,1 of 2,0 of 0,50%,,0,0,0,0,0:27,0:13,6 of 16,15 of 33,2 of 2,4 of 4,2 of 2,5 of 7,8 of 17,23 of 43,2 of 3,0 of 0,0 of 0,1 of 1,KO/TKO,1,3:00,3 Rnd (5-5-5),Gary Copeland,2018-04-21,"Atlantic City, New Jersey, USA",Lightweight Bout,Dan Hooker,10,20,24,44,50.0,54.0,13,23,24,44,1,2,0,0,50.0,,6,16,15,33,2,2,4,4,2,2,5,7,8,17,23,43,2,3,0,0,0,0,1,1,180
Aljamain Sterling,Brett Johns,0,0,89 of 152,27 of 89,58%,30%,117 of 181,56 of 119,3 of 9,1 of 5,33%,20%,0,0,1,0,1:22,6:31,40 of 88,23 of 79,37 of 51,4 of 8,12 of 13,0 of 2,53 of 103,17 of 76,26 of 32,10 of 13,10 of 17,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Liam Kerrigan,2018-04-21,"Atlantic City, New Jersey, USA",Bantamweight Bout,Aljamain Sterling,89,152,27,89,58.0,30.0,117,181,56,119,3,9,1,5,33.0,20.0,40,88,23,79,37,51,4,8,12,13,0,2,53,103,17,76,26,32,10,13,10,17,0,0,300
Siyar Bahadurzada,Luan Chagas,1,0,33 of 64,11 of 37,51%,29%,61 of 94,31 of 58,1 of 1,0 of 1,100%,0%,0,0,0,1,1:40,2:34,20 of 51,7 of 26,9 of 9,1 of 6,4 of 4,3 of 5,24 of 52,9 of 34,2 of 3,1 of 1,7 of 9,1 of 2,KO/TKO,2,2:40,3 Rnd (5-5-5),Gary Copeland,2018-04-21,"Atlantic City, New Jersey, USA",Welterweight Bout,Siyar Bahadurzada,33,64,11,37,51.0,29.0,61,94,31,58,1,1,0,1,100.0,0.0,20,51,7,26,9,9,1,6,4,4,3,5,24,52,9,34,2,3,1,1,7,9,1,2,160
Corey Anderson,Patrick Cummins,0,0,64 of 119,31 of 99,53%,31%,99 of 162,44 of 113,12 of 13,0 of 1,92%,0%,0,0,0,0,8:02,0:30,56 of 107,24 of 85,6 of 10,6 of 12,2 of 2,1 of 2,38 of 85,18 of 79,16 of 22,12 of 19,10 of 12,1 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,2018-04-21,"Atlantic City, New Jersey, USA",Light Heavyweight Bout,Corey Anderson,64,119,31,99,53.0,31.0,99,162,44,113,12,13,0,1,92.0,0.0,56,107,24,85,6,10,6,12,2,2,1,2,38,85,18,79,16,22,12,19,10,12,1,1,300
Anthony Rocco Martin,Keita Nakamura,0,0,56 of 133,24 of 83,42%,28%,65 of 142,26 of 85,0 of 0,2 of 5,,40%,2,0,1,0,0:32,1:38,48 of 124,16 of 70,5 of 6,6 of 9,3 of 3,2 of 4,49 of 121,23 of 82,4 of 9,1 of 1,3 of 3,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Liam Kerrigan,2018-04-21,"Atlantic City, New Jersey, USA",Welterweight Bout,Anthony Rocco Martin,56,133,24,83,42.0,28.0,65,142,26,85,0,0,2,5,,40.0,48,124,16,70,5,6,6,9,3,3,2,4,49,121,23,82,4,9,1,1,3,3,0,0,300
Michelle Waterson,Cortney Casey,0,0,61 of 84,36 of 96,72%,37%,77 of 103,64 of 126,3 of 4,0 of 1,75%,0%,0,3,0,0,6:03,1:42,30 of 49,22 of 79,13 of 15,7 of 8,18 of 20,7 of 9,41 of 61,22 of 82,6 of 7,9 of 9,14 of 16,5 of 5,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Tognoni,2018-04-14,"Glendale, Arizona, USA",Women's Strawweight Bout,Michelle Waterson,61,84,36,96,72.0,37.0,77,103,64,126,3,4,0,1,75.0,0.0,30,49,22,79,13,15,7,8,18,20,7,9,41,61,22,82,6,7,9,9,14,16,5,5,300
Dustin Poirier,Justin Gaethje,0,0,174 of 351,115 of 212,49%,54%,179 of 357,116 of 213,0 of 5,0 of 0,0%,,0,0,0,0,0:06,1:04,142 of 314,56 of 143,21 of 26,9 of 12,11 of 11,50 of 57,162 of 338,98 of 194,12 of 13,17 of 18,0 of 0,0 of 0,KO/TKO,4,0:33,5 Rnd (5-5-5-5-5),Herb Dean,2018-04-14,"Glendale, Arizona, USA",Lightweight Bout,Dustin Poirier,174,351,115,212,49.0,54.0,179,357,116,213,0,5,0,0,0.0,,142,314,56,143,21,26,9,12,11,11,50,57,162,338,98,194,12,13,17,18,0,0,0,0,33
Wilson Reis,John Moraga,0,0,12 of 61,46 of 91,19%,50%,61 of 127,69 of 116,8 of 16,0 of 0,50%,,0,1,0,2,7:43,0:42,6 of 52,30 of 73,1 of 4,12 of 14,5 of 5,4 of 4,12 of 61,34 of 76,0 of 0,6 of 7,0 of 0,6 of 8,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Nic Jones,2018-04-14,"Glendale, Arizona, USA",Flyweight Bout,John Moraga,12,61,46,91,19.0,50.0,61,127,69,116,8,16,0,0,50.0,,6,52,30,73,1,4,12,14,5,5,4,4,12,61,34,76,0,0,6,7,0,0,6,8,300
Israel Adesanya,Marvin Vettori,0,0,57 of 123,46 of 154,46%,29%,67 of 134,60 of 169,0 of 1,2 of 6,0%,33%,0,0,0,0,0:00,3:18,31 of 92,20 of 122,11 of 12,7 of 8,15 of 19,19 of 24,57 of 123,44 of 152,0 of 0,2 of 2,0 of 0,0 of 0,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,2018-04-14,"Glendale, Arizona, USA",Middleweight Bout,Israel Adesanya,57,123,46,154,46.0,29.0,67,134,60,169,0,1,2,6,0.0,33.0,31,92,20,122,11,12,7,8,15,19,19,24,57,123,44,152,0,0,2,2,0,0,0,0,300
Krzysztof Jotko,Brad Tavares,0,1,24 of 74,46 of 96,32%,47%,40 of 90,62 of 115,0 of 3,0 of 1,0%,0%,0,0,0,0,0:45,2:32,18 of 62,23 of 64,3 of 6,6 of 15,3 of 6,17 of 17,13 of 55,33 of 76,11 of 19,7 of 10,0 of 0,6 of 10,KO/TKO,3,2:16,3 Rnd (5-5-5),Al Guinee,2018-04-14,"Glendale, Arizona, USA",Middleweight Bout,Brad Tavares,24,74,46,96,32.0,47.0,40,90,62,115,0,3,0,1,0.0,0.0,18,62,23,64,3,6,6,15,3,6,17,17,13,55,33,76,11,19,7,10,0,0,6,10,136
Carlos Condit,Alex Oliveira,0,0,12 of 18,9 of 23,66%,39%,42 of 49,22 of 37,1 of 1,3 of 3,100%,100%,1,1,1,0,2:51,3:44,6 of 12,8 of 22,2 of 2,1 of 1,4 of 4,0 of 0,6 of 11,1 of 8,0 of 0,0 of 0,6 of 7,8 of 15,Submission,2,3:17,3 Rnd (5-5-5),Chris Tognoni,2018-04-14,"Glendale, Arizona, USA",Welterweight Bout,Alex Oliveira,12,18,9,23,66.0,39.0,42,49,22,37,1,1,3,3,100.0,100.0,6,12,8,22,2,2,1,1,4,4,0,0,6,11,1,8,0,0,0,0,6,7,8,15,197
Muslim Salikhov,Ricky Rainey,1,0,25 of 48,19 of 44,52%,43%,26 of 49,21 of 46,0 of 2,0 of 1,0%,0%,0,0,0,0,0:20,0:05,10 of 32,6 of 26,8 of 8,6 of 7,7 of 8,7 of 11,22 of 44,15 of 34,0 of 1,4 of 10,3 of 3,0 of 0,KO/TKO,2,4:12,3 Rnd (5-5-5),Chris Tognoni,2018-04-14,"Glendale, Arizona, USA",Welterweight Bout,Muslim Salikhov,25,48,19,44,52.0,43.0,26,49,21,46,0,2,0,1,0.0,0.0,10,32,6,26,8,8,6,7,7,8,7,11,22,44,15,34,0,1,4,10,3,3,0,0,252
Tim Boetsch,Antonio Carlos Junior,0,0,7 of 18,31 of 48,38%,64%,13 of 24,35 of 52,0 of 0,1 of 2,,50%,0,1,0,0,0:05,1:30,4 of 14,23 of 40,1 of 2,4 of 4,2 of 2,4 of 4,7 of 18,20 of 34,0 of 0,2 of 2,0 of 0,9 of 12,Submission,1,4:28,3 Rnd (5-5-5),Herb Dean,2018-04-14,"Glendale, Arizona, USA",Middleweight Bout,Antonio Carlos Junior,7,18,31,48,38.0,64.0,13,24,35,52,0,0,1,2,,50.0,4,14,23,40,1,2,4,4,2,2,4,4,7,18,20,34,0,0,2,2,0,0,9,12,268
Gilbert Burns,Dan Moret,1,0,31 of 65,20 of 58,47%,34%,39 of 74,20 of 58,2 of 2,0 of 0,100%,,0,0,0,0,1:24,0:00,22 of 55,10 of 43,8 of 9,4 of 9,1 of 1,6 of 6,28 of 57,19 of 57,1 of 2,1 of 1,2 of 6,0 of 0,KO/TKO,2,0:59,3 Rnd (5-5-5),Nic Jones,2018-04-14,"Glendale, Arizona, USA",Lightweight Bout,Gilbert Burns,31,65,20,58,47.0,34.0,39,74,20,58,2,2,0,0,100.0,,22,55,10,43,8,9,4,9,1,1,6,6,28,57,19,57,1,2,1,1,2,6,0,0,59
Shana Dobson,Lauren Mueller,0,0,68 of 206,58 of 156,33%,37%,74 of 213,70 of 171,1 of 4,2 of 2,25%,100%,0,0,0,0,0:44,2:48,34 of 158,31 of 119,23 of 36,20 of 29,11 of 12,7 of 8,62 of 198,54 of 147,6 of 8,4 of 7,0 of 0,0 of 2,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),,2018-04-14,"Glendale, Arizona, USA",Women's Flyweight Bout,Lauren Mueller,68,206,58,156,33.0,37.0,74,213,70,171,1,4,2,2,25.0,100.0,34,158,31,119,23,36,20,29,11,12,7,8,62,198,54,147,6,8,4,7,0,0,0,2,300
Matthew Lopez,Alejandro Perez,0,0,22 of 36,44 of 100,61%,44%,32 of 47,81 of 142,3 of 7,0 of 1,42%,0%,2,0,0,0,3:06,0:28,14 of 28,27 of 79,7 of 7,8 of 8,1 of 1,9 of 13,19 of 33,39 of 92,1 of 1,5 of 8,2 of 2,0 of 0,KO/TKO,2,3:42,3 Rnd (5-5-5),Nic Jones,2018-04-14,"Glendale, Arizona, USA",Bantamweight Bout,Alejandro Perez,22,36,44,100,61.0,44.0,32,47,81,142,3,7,0,1,42.0,0.0,14,28,27,79,7,7,8,8,1,1,9,13,19,33,39,92,1,1,5,8,2,2,0,0,222
Dhiego Lima,Yushin Okami,0,0,11 of 24,15 of 19,45%,78%,17 of 31,57 of 66,0 of 0,6 of 13,,46%,0,0,0,0,0:05,12:30,6 of 16,14 of 18,3 of 6,0 of 0,2 of 2,1 of 1,6 of 19,2 of 3,3 of 3,0 of 0,2 of 2,13 of 16,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Nic Jones,2018-04-14,"Glendale, Arizona, USA",Welterweight Bout,Yushin Okami,11,24,15,19,45.0,78.0,17,31,57,66,0,0,6,13,,46.0,6,16,14,18,3,6,0,0,2,2,1,1,6,19,2,3,3,3,0,0,2,2,13,16,300
Luke Sanders,Patrick Williams,1,0,59 of 140,61 of 109,42%,55%,62 of 143,68 of 117,0 of 0,1 of 5,,20%,0,0,0,0,1:19,0:55,44 of 121,15 of 56,13 of 16,15 of 20,2 of 3,31 of 33,44 of 119,53 of 94,13 of 19,8 of 15,2 of 2,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Al Guinee,2018-04-14,"Glendale, Arizona, USA",Bantamweight Bout,Luke Sanders,59,140,61,109,42.0,55.0,62,143,68,117,0,0,1,5,,20.0,44,121,15,56,13,16,15,20,2,3,31,33,44,119,53,94,13,19,8,15,2,2,0,0,300
Arjan Bhullar,Adam Wieczorek,0,0,9 of 18,13 of 27,50%,48%,42 of 60,14 of 28,2 of 3,0 of 0,66%,,0,1,0,0,5:18,0:00,9 of 18,2 of 14,0 of 0,4 of 6,0 of 0,7 of 7,5 of 11,10 of 22,1 of 1,1 of 1,3 of 6,2 of 4,Submission,2,1:59,3 Rnd (5-5-5),Al Guinee,2018-04-14,"Glendale, Arizona, USA",Heavyweight Bout,Adam Wieczorek,9,18,13,27,50.0,48.0,42,60,14,28,2,3,0,0,66.0,,9,18,2,14,0,0,4,6,0,0,7,7,5,11,10,22,1,1,1,1,3,6,2,4,119
Zabit Magomedsharipov,Kyle Bochniak,0,0,97 of 217,43 of 163,44%,26%,114 of 237,44 of 164,5 of 11,0 of 2,45%,0%,0,0,0,0,3:48,0:40,75 of 188,34 of 149,11 of 14,9 of 13,11 of 15,0 of 1,89 of 207,42 of 162,1 of 2,1 of 1,7 of 8,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rob Hinds,2018-04-07,"Brooklyn, New York, USA",Featherweight Bout,Zabit Magomedsharipov,97,217,43,163,44.0,26.0,114,237,44,164,5,11,0,2,45.0,0.0,75,188,34,149,11,14,9,13,11,15,0,1,89,207,42,162,1,2,1,1,7,8,0,0,300
Karolina Kowalkiewicz,Felice Herrig,0,0,126 of 248,86 of 216,50%,39%,140 of 262,97 of 228,0 of 3,0 of 5,0%,0%,0,0,1,0,1:11,1:45,82 of 191,62 of 181,31 of 42,19 of 25,13 of 15,5 of 10,80 of 192,62 of 178,43 of 53,24 of 38,3 of 3,0 of 0,Decision - Split,3,5:00,3 Rnd (5-5-5),Keith Peterson,2018-04-07,"Brooklyn, New York, USA",Women's Strawweight Bout,Karolina Kowalkiewicz,126,248,86,216,50.0,39.0,140,262,97,228,0,3,0,5,0.0,0.0,82,191,62,181,31,42,19,25,13,15,5,10,80,192,62,178,43,53,24,38,3,3,0,0,300
Renato Moicano,Calvin Kattar,0,0,116 of 206,41 of 140,56%,29%,117 of 207,41 of 140,0 of 0,0 of 2,,0%,0,0,0,0,0:00,0:01,60 of 133,35 of 131,18 of 27,5 of 8,38 of 46,1 of 1,115 of 205,41 of 140,1 of 1,0 of 0,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Todd Ronald Anderson,2018-04-07,"Brooklyn, New York, USA",Featherweight Bout,Renato Moicano,116,206,41,140,56.0,29.0,117,207,41,140,0,0,0,2,,0.0,60,133,35,131,18,27,5,8,38,46,1,1,115,205,41,140,1,1,0,0,0,0,0,0,300
Joe Lauzon,Chris Gruetzemacher,0,0,48 of 137,128 of 196,35%,65%,49 of 138,135 of 203,0 of 2,0 of 0,0%,,0,0,0,0,0:00,1:38,40 of 125,72 of 135,7 of 10,45 of 50,1 of 2,11 of 11,35 of 113,68 of 118,11 of 22,51 of 65,2 of 2,9 of 13,KO/TKO,2,5:00,3 Rnd (5-5-5),Dan Miragliotta,2018-04-07,"Brooklyn, New York, USA",Lightweight Bout,Chris Gruetzemacher,48,137,128,196,35.0,65.0,49,138,135,203,0,2,0,0,0.0,,40,125,72,135,7,10,45,50,1,2,11,11,35,113,68,118,11,22,51,65,2,2,9,13,300
Rose Namajunas,Joanna Jedrzejczyk,0,0,105 of 301,145 of 356,34%,40%,108 of 304,160 of 372,1 of 2,0 of 0,50%,,0,0,0,0,0:56,0:00,85 of 270,64 of 257,15 of 24,27 of 37,5 of 7,54 of 62,105 of 301,135 of 342,0 of 0,10 of 14,0 of 0,0 of 0,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Keith Peterson,2018-04-07,"Brooklyn, New York, USA",UFC Women's Strawweight Title Bout,Rose Namajunas,105,301,145,356,34.0,40.0,108,304,160,372,1,2,0,0,50.0,,85,270,64,257,15,24,27,37,5,7,54,62,105,301,135,342,0,0,10,14,0,0,0,0,300
Khabib Nurmagomedov,Al Iaquinta,0,0,134 of 304,41 of 141,44%,29%,172 of 352,43 of 143,6 of 15,0 of 1,40%,0%,1,0,0,0,10:33,0:00,122 of 287,27 of 117,7 of 12,11 of 20,5 of 5,3 of 4,100 of 255,41 of 141,0 of 0,0 of 0,34 of 49,0 of 0,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Dan Miragliotta,2018-04-07,"Brooklyn, New York, USA",UFC Lightweight Title Bout,Khabib Nurmagomedov,134,304,41,141,44.0,29.0,172,352,43,143,6,15,0,1,40.0,0.0,122,287,27,117,7,12,11,20,5,5,3,4,100,255,41,141,0,0,0,0,34,49,0,0,300
Bec Rawlings,Ashlee Evans-Smith,0,0,88 of 195,116 of 331,45%,35%,89 of 196,121 of 337,0 of 0,1 of 4,,25%,0,0,0,0,0:09,0:07,46 of 147,81 of 276,14 of 18,20 of 36,28 of 30,15 of 19,82 of 188,101 of 305,6 of 7,14 of 25,0 of 0,1 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rob Hinds,2018-04-07,"Brooklyn, New York, USA",Women's Flyweight Bout,Ashlee Evans-Smith,88,195,116,331,45.0,35.0,89,196,121,337,0,0,1,4,,25.0,46,147,81,276,14,18,20,36,28,30,15,19,82,188,101,305,6,7,14,25,0,0,1,1,300
Evan Dunham,Olivier Aubin-Mercier,0,1,4 of 14,13 of 18,28%,72%,4 of 14,13 of 18,0 of 0,0 of 0,,,0,0,0,0,0:00,0:07,4 of 14,9 of 14,0 of 0,4 of 4,0 of 0,0 of 0,3 of 13,3 of 5,1 of 1,8 of 9,0 of 0,2 of 4,KO/TKO,1,0:53,3 Rnd (5-5-5),Todd Ronald Anderson,2018-04-07,"Brooklyn, New York, USA",Lightweight Bout,Olivier Aubin-Mercier,4,14,13,18,28.0,72.0,4,14,13,18,0,0,0,0,,,4,14,9,14,0,0,4,4,0,0,0,0,3,13,3,5,1,1,8,9,0,0,2,4,53
Devin Clark,Mike Rodriguez,0,0,50 of 64,40 of 66,78%,60%,167 of 200,66 of 95,7 of 11,0 of 0,63%,,0,0,0,0,11:25,0:38,30 of 38,17 of 39,12 of 16,21 of 23,8 of 10,2 of 4,17 of 24,11 of 35,19 of 24,27 of 29,14 of 16,2 of 2,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,2018-04-07,"Brooklyn, New York, USA",Light Heavyweight Bout,Devin Clark,50,64,40,66,78.0,60.0,167,200,66,95,7,11,0,0,63.0,,30,38,17,39,12,16,21,23,8,10,2,4,17,24,11,35,19,24,27,29,14,16,2,2,300
Danny Roberts,Oliver Enkamp,1,0,4 of 10,7 of 12,40%,58%,4 of 10,8 of 14,0 of 0,0 of 1,,0%,0,0,0,0,0:02,0:24,2 of 8,1 of 4,1 of 1,1 of 1,1 of 1,5 of 7,3 of 8,5 of 10,0 of 1,2 of 2,1 of 1,0 of 0,KO/TKO,1,2:12,3 Rnd (5-5-5),Leon Roberts,2018-03-17,"London, England, United Kingdom",Welterweight Bout,Danny Roberts,4,10,7,12,40.0,58.0,4,10,8,14,0,0,0,1,,0.0,2,8,1,4,1,1,1,1,1,1,5,7,3,8,5,10,0,1,2,2,1,1,0,0,132
John Phillips,Charles Byrd,0,0,0 of 1,11 of 14,0%,78%,1 of 2,34 of 41,0 of 0,1 of 1,,100%,0,1,0,0,0:00,3:53,0 of 1,11 of 14,0 of 0,0 of 0,0 of 0,0 of 0,0 of 1,0 of 1,0 of 0,0 of 0,0 of 0,11 of 13,Submission,1,3:58,3 Rnd (5-5-5),Marc Goddard,2018-03-17,"London, England, United Kingdom",Middleweight Bout,Charles Byrd,0,1,11,14,0.0,78.0,1,2,34,41,0,0,1,1,,100.0,0,1,11,14,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,11,13,238
Tom Duquesnoy,Terrion Ware,0,0,67 of 153,85 of 267,43%,31%,70 of 156,108 of 295,0 of 3,2 of 6,0%,33%,0,0,0,0,0:05,1:28,28 of 104,60 of 234,8 of 18,15 of 21,31 of 31,10 of 12,66 of 150,71 of 248,1 of 3,6 of 10,0 of 0,8 of 9,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Grant Waterman,2018-03-17,"London, England, United Kingdom",Bantamweight Bout,Tom Duquesnoy,67,153,85,267,43.0,31.0,70,156,108,295,0,3,2,6,0.0,33.0,28,104,60,234,8,18,15,21,31,31,10,12,66,150,71,248,1,3,6,10,0,0,8,9,300
Paul Craig,Magomed Ankalaev,0,0,18 of 50,59 of 96,36%,61%,34 of 70,89 of 129,2 of 7,0 of 0,28%,,1,0,0,2,1:47,6:42,2 of 30,36 of 70,10 of 14,19 of 21,6 of 6,4 of 5,12 of 41,20 of 44,6 of 7,8 of 11,0 of 2,31 of 41,Submission,3,4:59,3 Rnd (5-5-5),Marc Goddard,2018-03-17,"London, England, United Kingdom",Light Heavyweight Bout,Paul Craig,18,50,59,96,36.0,61.0,34,70,89,129,2,7,0,0,28.0,,2,30,36,70,10,14,19,21,6,6,4,5,12,41,20,44,6,7,8,11,0,2,31,41,299
Leon Edwards,Peter Sobotta,1,0,42 of 86,16 of 43,48%,37%,71 of 117,57 of 90,1 of 2,1 of 4,50%,25%,0,0,1,0,8:21,1:04,37 of 78,8 of 34,5 of 6,3 of 4,0 of 2,5 of 5,16 of 50,15 of 42,1 of 1,1 of 1,25 of 35,0 of 0,KO/TKO,3,4:59,3 Rnd (5-5-5),Rich Mitchell,2018-03-17,"London, England, United Kingdom",Welterweight Bout,Leon Edwards,42,86,16,43,48.0,37.0,71,117,57,90,1,2,1,4,50.0,25.0,37,78,8,34,5,6,3,4,0,2,5,5,16,50,15,42,1,1,1,1,25,35,0,0,299
Jimi Manuwa,Jan Blachowicz,0,1,37 of 110,97 of 191,33%,50%,37 of 110,124 of 219,0 of 2,1 of 6,0%,16%,0,0,0,0,0:02,2:52,16 of 79,81 of 171,17 of 23,11 of 15,4 of 8,5 of 5,32 of 104,88 of 178,5 of 6,8 of 12,0 of 0,1 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,2018-03-17,"London, England, United Kingdom",Light Heavyweight Bout,Jan Blachowicz,37,110,97,191,33.0,50.0,37,110,124,219,0,2,1,6,0.0,16.0,16,79,81,171,17,23,11,15,4,8,5,5,32,104,88,178,5,6,8,12,0,0,1,1,300
Fabricio Werdum,Alexander Volkov,0,1,48 of 88,48 of 90,54%,53%,83 of 130,96 of 144,3 of 9,2 of 2,33%,100%,0,0,2,0,6:39,1:46,30 of 66,37 of 75,12 of 14,8 of 11,6 of 8,3 of 4,22 of 41,32 of 71,1 of 2,3 of 5,25 of 45,13 of 14,KO/TKO,4,1:38,5 Rnd (5-5-5-5-5),Marc Goddard,2018-03-17,"London, England, United Kingdom",Heavyweight Bout,Alexander Volkov,48,88,48,90,54.0,53.0,83,130,96,144,3,9,2,2,33.0,100.0,30,66,37,75,12,14,8,11,6,8,3,4,22,41,32,71,1,2,3,5,25,45,13,14,98
Danny Henry,Hakeem Dawodu,1,0,2 of 5,3 of 3,40%,100%,2 of 5,3 of 3,0 of 0,0 of 0,,,1,0,0,0,0:13,0:00,2 of 4,1 of 1,0 of 1,0 of 0,0 of 0,2 of 2,2 of 4,3 of 3,0 of 0,0 of 0,0 of 1,0 of 0,Submission,1,0:39,3 Rnd (5-5-5),Rich Mitchell,2018-03-17,"London, England, United Kingdom",Featherweight Bout,Danny Henry,2,5,3,3,40.0,100.0,2,5,3,3,0,0,0,0,,,2,4,1,1,0,1,0,0,0,0,2,2,2,4,3,3,0,0,0,0,0,1,0,0,39
